Produto,Pagamento,Tipo de Evento,Instituição,Quantidade,Preço unitário,Valor líquido
PETR4 - PETROLEO BRASILEIRO S.A. PETROBRAS                ,29/04/2021,Dividendo,CLEAR CORRETORA - GRUPO XP,78,0.79,61.42
PETR4 - PETROLEO BRASILEIRO S.A. PETROBRAS                ,29/04/2021,Rendimento,CLEAR CORRETORA - GRUPO XP,78,0.01,0.33
RBRP11 - FDO INV IMOB RBR PROPERTIES - FII                 ,15/04/2021,Rendimento,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,26,0.50,13.00
HSML11 - HSI MALL FDO INV IMOB                             ,08/04/2021,Rendimento,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,24,0.16,3.84
EGIE3 - ENGIE BRASIL ENERGIA S.A.                         ,05/04/2021,Juros Sobre Capital Próprio,CLEAR CORRETORA - GRUPO XP,66,0.21,12.03
ITSA4 - ITAUSA S.A.                                       ,01/04/2021,Dividendo,CLEAR CORRETORA - GRUPO XP,414,0.02,8.28
ITSA4 - ITAUSA S.A.                                       ,01/04/2021,Dividendo,MODAL DTVM LTDA,200,0.02,4.00
ITSA4 - ITAUSA S.A.                                       ,01/04/2021,Dividendo,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,200,0.02,4.00
ITSA4 - ITAUSA S.A.                                       ,12/03/2021,Juros Sobre Capital Próprio,MODAL DTVM LTDA,200,0.10,17.29
ITSA4 - ITAUSA S.A.                                       ,12/03/2021,Juros Sobre Capital Próprio,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,200,0.10,17.29
ITSA4 - ITAUSA S.A.                                       ,12/03/2021,Juros Sobre Capital Próprio,CLEAR CORRETORA - GRUPO XP,414,0.02,7.32
ITSA4 - ITAUSA S.A.                                       ,12/03/2021,Juros Sobre Capital Próprio,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,200,0.02,3.54
ITSA4 - ITAUSA S.A.                                       ,12/03/2021,Juros Sobre Capital Próprio,CLEAR CORRETORA - GRUPO XP,414,0.10,35.77
ITSA4 - ITAUSA S.A.                                       ,12/03/2021,Juros Sobre Capital Próprio,MODAL DTVM LTDA,200,0.02,3.54
RBRP11 - FDO INV IMOB RBR PROPERTIES - FII                 ,12/03/2021,Rendimento,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,26,0.52,13.52
HSML11 - HSI MALL FDO INV IMOB                             ,05/03/2021,Rendimento,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,24,0.40,9.60
BBSE3 - BB SEGURIDADE PARTICIPAÇÕES S.A.                  ,25/02/2021,Rendimento,CLEAR CORRETORA - GRUPO XP,178,0.00,0.18
BBSE3 - BB SEGURIDADE PARTICIPAÇÕES S.A.                  ,25/02/2021,Dividendo,CLEAR CORRETORA - GRUPO XP,178,0.47,84.51
RBRP11 - FDO INV IMOB RBR PROPERTIES - FII                 ,12/02/2021,Rendimento,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,26,0.52,13.52
BPAC11 - BCO BTG PACTUAL S.A.                              ,05/02/2021,Juros Sobre Capital Próprio,CLEAR CORRETORA - GRUPO XP,16,0.59,8.02
BPAC11 - BCO BTG PACTUAL S.A.                              ,05/02/2021,Juros Sobre Capital Próprio,CLEAR CORRETORA - GRUPO XP,16,0.62,8.47
HSML11 - HSI MALL FDO INV IMOB                             ,05/02/2021,Rendimento,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,24,0.50,12.00
EGIE3 - ENGIE BRASIL ENERGIA S.A.                         ,29/01/2021,Dividendo,CLEAR CORRETORA - GRUPO XP,66,0.68,44.85
EGIE3 - ENGIE BRASIL ENERGIA S.A.                         ,29/01/2021,Dividendo,CLEAR CORRETORA - GRUPO XP,66,0.83,54.81
